Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kilojoule (kJ);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Kohlenhydrate, verfügbar (g);Zucker (g);Nahrungsfasern (g);Protein (g);Wasser (g)
Reis unpoliert, trocken;Vollkornreis;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis;pro 100g essbarer Anteil;1480;2.8;0.6;0.9;1;71.4;0.6;5;7.4;12.6
Reisgetränk, nature;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;226;1.3;0.1;0.4;0.6;10.3;2.8;0.1;0.2;88.2
Reisgetränk, nature, mit Calcium angereichert;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;226;1.3;0.1;0.4;0.6;10.3;2.8;0.1;0.2;88.2
Rettich, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;76;0.3;;;;2.6;2.6;1.2;0.6;93.8
Rhabarber, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;91;0.2;0.1;0;0.1;1.5;1.5;2.5;0.8;92
Rhabarberkompott, gezuckert;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;373;0.2;0;0;0.1;18.8;18.8;2.1;0.7;78.3
Rhabarberkuchen, gebacken (mit Blätterteig);Rhabarberwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;503;6.8;3;2.6;0.8;11.1;2.8;2;2.8;77.4
Rhabarberkuchen, hausgemacht, gebacken (mit Kuchenteig);Rhabarberwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;513;6.6;3;2.5;0.8;11.8;2.8;2.1;3;76.7
Rind, Brust, gekocht (ohne Zugabe von Fett und Salz);;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;1060;15.6;6.7;7.4;0.6;0;0;0;28.3;56
Rind, Brust, roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;784;12.5;5.4;5.9;0.5;0;0;0;18.9;67.7
Rind, Eckstück, roh;Plätzli;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;469;2.3;1.1;0.9;0.1;0;0;0;22.6;74
"Rind, Entrecôte, ""medium"" gebraten (ohne Zusatz von Fett und Salz)";;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;684;4.6;2.2;2.3;0.4;0;0;0;30.2;65.2
Rind, Entrecôte, roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;561;4.5;2.2;2.2;0.4;0;0;0;23.2;71
"Rind, Filet, ""medium"" gebraten (ohne Zustatz von Fett und Salz)";;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;543;2;0.9;0.9;0.1;0;0;0;27.7;70.4
Rind, Filet, roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;444;2;0.9;0.9;0.1;0;0;0;21.9;75.1
Rind, Gehacktes, gebraten (ohne Zusatz von Fett und Salz);Hackfleisch;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;884;8.9;3.8;4;0.6;0;0;0;32.6;58.5
Rind, Gehacktes, roh;Hackfleisch;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;645;7.5;3.2;3.4;0.5;0;0;0;21.6;69.7
Rind, Geschnetzeltes, roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;433;1.5;0.6;0.6;0.3;0;0;0;22.2;74
Rind, Hals, roh;"Voressen;Gulasch";Fleisch und Innereien/Rind;pro 100g essbarer Anteil;626;8.1;4;3.3;0.3;0;0;0;19.3;71.7
Rind, Hohrücken, roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;692;9;4;3.3;0.7;0;0;0;21.1;68.6
Rind, Leber, roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;581;3.9;1.4;0.6;0.8;5.3;0;0;20.5;69.1
Rind, Runder Mocken, roh;Saftplätzli;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;447;1.8;0.8;0.8;0.3;0;0;0;22.4;73.8
"Rind, Schulter, Braten ""medium"", im Ofen gebraten (ohne Zugabe von Fett und Salz)";;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;617;3.6;1.3;1.5;0.3;0;0;0;28.5;67.9
"Rind, Schulter, Braten ""rare"", im Ofen gebraten (ohne Zugabe von Fett und Salz)";;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;570;3.3;1.2;1.4;0.3;0;0;0;26.3;70.4
"Rind, Schulter, Braten ""well done"", im Ofen gebraten (ohne Zugabe von Fett und Salz)";;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;717;4.2;1.5;1.7;0.3;0;0;0;33.1;62.7
Rind, Schulter, Braten, roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;495;3.5;1.2;1.4;0.3;0;0;0;21.6;73.8
Rind, Siedfleisch, durchzogen,  roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;946;16.6;7;7.6;1;0;0;0;19.5;61.7
Rind, Siedfleisch, durchzogen, gekocht (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;1150;18.9;7.9;8.7;1.2;0;0;0;26.6;54.5
Rind, Siedfleisch, mager, gekocht (ohne Zusatz von Fett and Salz);;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;801;7.1;3.3;2.8;0.6;0;0;0;31.7;61.2
Rind, Siedfleisch, mager, roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;555;5.5;2.5;2.2;0.5;0;0;0;20.7;71.2
Rind, Voressen, roh;Ragout;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;409;1.3;0.6;0.6;0.3;0;0;0;21.2;74.2
Rind, Zunge, roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;816;13;4.7;6;1.1;3.7;0;0;16;66.4
Rindfleisch (Durchschnitt exkl. Innereien, Rippensteak), roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;565;5.4;2.4;2.3;0.3;0;0;0;21.4;73.2
Rindsragout mit Sauce, zubereitet;Voressen;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;357;2.8;0.5;1.9;0.4;3;1.2;0.6;11.6;82
Rippli (Nierstück), roh;;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;648;7.3;2.6;3.4;0.8;0.5;0;0;21.7;67.5
Risotto ohne Käse, zubereitet;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis;pro 100g essbarer Anteil;523;1.6;0.2;1;0.2;24.9;0.5;0.5;2.3;70.9
Ristretto crème, ungezuckert;;Alkoholfreie Getränke/Kaffee;pro 100g essbarer Anteil;194;4.3;2.6;1;0.2;1.3;1.1;0.1;0.8;93.6
Riz Casimir mit Kalbfleisch, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;517;3.4;0.8;1.7;0.6;16;3.2;1.1;6.6;73.1
Riz Casimir mit Poulet, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;524;3.3;0.7;1.7;0.6;16;3.2;1.1;7.2;72.6
Roggenbrot mit Sauerteig;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;910;0.9;0.1;0.1;0.4;41.5;3.8;7.7;6.5;43.9
Roggenmehl, halbweiss, Typ 815;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;1420;1;0.1;0.1;0.5;71;6.5;6.5;6.9;13.8
Roggenmehl, Ruch, Typ 1050;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;1420;1.3;0.2;0.1;0.6;67.8;6.2;8.6;9;13.3
Roggenmehl, Vollkorn, Schrot, Typ 1800;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;1420;1.5;0.2;0.2;0.7;63.1;5.8;14.1;10.8;14.3
Roggenschrotbrot;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;994;1;0.2;0.1;0.5;44.1;3.8;9.4;7.7;38.3
Rohessspeck;"Bauernspeck;Bauernspeck, roh, geräuchert";Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;1660;34.3;13.1;15.5;2.3;0.6;0.6;0;22.1;39
Rohpökelwaren (Durchschnitt);;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;1140;17.2;6.3;7.7;1.7;0.4;0.3;0;29.4;53
Rohschinken;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;958;11.5;4.3;5.3;0.7;0.3;0.3;0;31;51.9
Rohwürste mit abgebrochener Reifung (Durchschnitt);;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;1300;26.6;9.9;12.4;2.6;0.7;0.7;0.2;17.7;54.8
Rohwürste/Dauerwürste (Durchschnitt);;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;1840;39.4;15.2;18;3.5;0.2;0.2;0;22.2;38.1
Rollgerste;Gerstengraupen;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;1470;1.4;0.3;0.1;0.6;71;2.2;4.6;10.4;12.2
Rollmops;Hering, sauer;Fisch/Fischerzeugnisse;pro 100g essbarer Anteil;1130;15.9;3.7;7.9;3;19.6;18;0;12;49.3
Rollschinken;;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;758;10.6;4.1;5;0.7;1.2;1.2;0;20.3;64.8
Rollschinken, gekocht (ohne Zusatz von Fett und Salz);;Fleisch- und Wurstwaren/Sonstige Fleisch- und Wurstwaren;pro 100g essbarer Anteil;788;9.9;3.8;4.7;0.7;1.4;1.4;0;23.3;65.4
Roquefort;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;1500;31.7;19;7.4;1.5;0.2;0;0;19.2;42.6
Rosenkohl, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;155;0.4;0.1;0;0.2;3;2.5;3.6;3.6;89.4
Rosenkohl, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;170;0.4;0.1;0;0.2;3.3;2.8;4;4;85.5
Rosine, getrocknet;"Weinbeere;Sultanine";Früchte/Früchte getrocknet;pro 100g essbarer Anteil;1360;0.9;0.3;0.3;0.2;73.2;70.3;4.2;3;16
Rosmarin, roh;;Gemüse/Kräuter;pro 100g essbarer Anteil;260;2.5;0.5;0.1;1.4;7.7;7.6;2.9;0.8;85
Rösti (Fertig-Rösti), ungebraten;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;629;5.7;0.4;4.2;0.8;20.7;0.9;2.7;2.6;68.2
Rotkohl, gedünstet (ohne Zugabe von Fett und Salz);"Rotkraut;Blaukraut";Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;104;0.2;0;0;0.1;3.7;3.4;2.3;1;92.6
Rotkohl, roh;"Rotkraut;Blaukraut";Gemüse/Gemüse frisch;pro 100g essbarer Anteil;121;0.2;0;0;0.1;4.3;3.9;2.6;1.1;89.5
Ruchbrot;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;991;1.2;0.2;0.1;0.6;44.3;0.5;4.1;9.5;41.8
Ruchbrot (mit jodiertem Kochsalz);;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;991;1.2;0.2;0.1;0.6;44.3;0.5;4.1;9.5;41.8
Rucola, roh;Rauke;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;119;0.7;0.1;0.1;0.3;2.1;2.1;1.6;2.6;91.7
Rüeblitorte;"Rüeblicake;Rüeblikuchen";Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;1270;16.4;1.8;9.2;3.5;25.8;19.6;3.9;11.1;43.9
Rührei mit Champignons, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;529;9;3.1;3;1.3;1.5;1.3;0.4;9.8;79.5
Rührei mit Käse, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;651;11.6;4.3;3.8;1.5;1.3;1.3;0;11.8;75.3
Rührei mit Kräutern, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;585;10;3.5;3.4;1.4;1.9;1.6;0.4;10.6;77.1
Rührei mit Schinken, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;597;9.7;3.4;3.3;1.3;1.3;1.3;0;12.8;76.2
Rührei, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;613;10.8;3.8;3.7;1.5;1.3;1.3;0;11.2;76.7
"Rührteigcake ""Gleichschwer""";;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;1800;24.7;13.7;6.1;1.7;44.7;26.6;0.8;6.9;23.2
Russischer Salat, zubereitet;;Gerichte/Salate;pro 100g essbarer Anteil;815;15.9;2.1;11.4;1.4;9.8;1.9;2.2;2.4;69.6
Sablé, Butter;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;1980;26.2;15.5;6.1;1.5;53.1;17.8;1.6;5.9;13.8
Salametti;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;1420;31.4;11.8;14.7;3.3;0.3;0.3;0;14.8;53.5
Salami;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;1520;30.1;11.3;13.4;2.7;;;0;24.1;40.2
Salami (Billiglinie);;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;1750;37.1;13.6;15.7;3.1;;;0;22;36
Salatsauce französisch, hausgemacht (mit Rapsöl);;Fette und Öle/Salatsaucen;pro 100 ml;1770;46.9;5.3;19.9;19.6;0.8;0.5;0.4;0.9;51
Salatsauce italienisch, hausgemacht (mit Olivenöl);;Fette und Öle/Salatsaucen;pro 100 ml;1910;50.7;6;38.1;3.8;1.4;0.3;0.1;0.4;47.3
Salatsauce, französisch;;Fette und Öle/Salatsaucen;pro 100g essbarer Anteil;1480;37.4;4.2;12.2;18.8;4.5;4.3;0.3;1.4;53
Salatsauce, italienisch;;Fette und Öle/Salatsaucen;pro 100g essbarer Anteil;1270;32.1;3.2;15.4;11.8;4.9;4.1;0.1;0.1;59.4
Salbei, roh;;Gemüse/Kräuter;pro 100g essbarer Anteil;246;2.1;1.1;0.3;0.3;6.9;6.8;2.9;1.7;85
Salsiz;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;1720;34.9;13.6;15.7;3;;;0;25.2;34.4
Saltimbocca, gebraten in HOLL-Rapsöl;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;905;11.2;1.8;7.2;1.2;0.1;0.1;0;28.8;59.9
Salz, Himalayasalz;;Verschiedenes/Salz, Gewürze und Aromen;pro 100g essbarer Anteil;0;0;0;0;0;0;0;0;0;3.6
Salz, Meersalz, Fleur de sel;;Verschiedenes/Salz, Gewürze und Aromen;pro 100g essbarer Anteil;0;0;0;0;0;0;0;0;0;3.8
Salz, Meersalz, Standard, weiss, ohne zugesetztes Jod und Fluor ;;Verschiedenes/Salz, Gewürze und Aromen;pro 100g essbarer Anteil;0;0;0;0;0;0;0;0;0;0.3
Samen, Kerne, Nüsse (Durchschnitt), ungesalzen;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;2540;52.8;8.9;21.2;18.5;9.1;3.7;9.7;20.9;10.6
Samosa, frittiert;;Gerichte/Asiatische Gerichte;pro 100g essbarer Anteil;1590;25.3;7.9;12.9;3.3;30.8;2.2;3.3;6.2;34.8
Samosa, gebacken;;Gerichte/Asiatische Gerichte;pro 100g essbarer Anteil;1470;21;8;9.3;2.8;32.7;2.3;3.5;6.6;36.6
Sandwich (Baguette) mit Aufschnitt;;Gerichte/Sandwiches;pro 100g essbarer Anteil;657;7;1.9;2.6;2.1;17.3;1.8;1.5;5.3;69
Sandwich (Baguette) mit Fleischkäse;;Gerichte/Sandwiches;pro 100g essbarer Anteil;922;9.3;2.2;3.2;3.2;25.1;1.1;1.6;8;56.3
Sandwich (Baguette) mit Halbhartkäse;;Gerichte/Sandwiches;pro 100g essbarer Anteil;749;7.6;2.8;1.9;2.3;20.1;1.4;1.6;6.7;64.2
Sandwich (Baguette) mit Mozzarella;;Gerichte/Sandwiches;pro 100g essbarer Anteil;686;6.2;1.9;1.7;2.2;20.1;1.4;1.6;6;66.3
Sandwich (Baguette) mit Rohschinken;;Gerichte/Sandwiches;pro 100g essbarer Anteil;693;5.7;1.3;1.9;2.1;18.7;1.3;1.5;8.8;65.5
Sandwich (Baguette) mit Salami;;Gerichte/Sandwiches;pro 100g essbarer Anteil;663;6.5;1.7;2.2;2.1;18.3;1.8;1.7;5.8;68
Sandwich (Baguette) mit Schinken;;Gerichte/Sandwiches;pro 100g essbarer Anteil;552;3.7;0.7;1.1;1.7;17.3;1.8;1.6;6.3;71.3
Sandwich (Baguette) mit Trockenfleisch;;Gerichte/Sandwiches;pro 100g essbarer Anteil;594;3.9;0.7;1.1;1.8;18.3;1.8;1.7;7.2;69.1
Sandwich (Baguette) mit Weichkäse;;Gerichte/Sandwiches;pro 100g essbarer Anteil;766;7.6;2.6;1.9;2.4;21.4;1.2;1.7;6.3;63.3
Sandwich (Ruchbrot) mit Aufschnitt;;Gerichte/Sandwiches;pro 100g essbarer Anteil;630;7.1;1.9;2.6;2.1;15.2;1.8;1.9;5.5;70.5
Sandwich (Ruchbrot) mit Fleischkäse;;Gerichte/Sandwiches;pro 100g essbarer Anteil;879;9.5;2.3;3.3;3.2;21.9;1.1;2.2;8.2;58.6
Sandwich (Ruchbrot) mit Halbhartkäse;;Gerichte/Sandwiches;pro 100g essbarer Anteil;717;7.7;2.8;1.9;2.3;17.5;1.4;2.1;6.9;66.1
Sandwich (Ruchbrot) mit Mozzarella;;Gerichte/Sandwiches;pro 100g essbarer Anteil;653;6.3;1.9;1.7;2.2;17.6;1.4;2.1;6.1;68.2
Sandwich (Ruchbrot) mit Rohschinken;;Gerichte/Sandwiches;pro 100g essbarer Anteil;662;5.8;1.3;1.9;2.1;16.4;1.3;1.9;9;67.2
Sandwich (Ruchbrot) mit Salami;;Gerichte/Sandwiches;pro 100g essbarer Anteil;634;6.6;1.7;2.2;2.1;16.1;1.8;2;5.9;69.6
Sandwich (Ruchbrot) mit Schinken;;Gerichte/Sandwiches;pro 100g essbarer Anteil;525;3.8;0.7;1.1;1.8;15.2;1.8;1.9;6.4;72.8
Sandwich (Ruchbrot) mit Trockenfleisch;;Gerichte/Sandwiches;pro 100g essbarer Anteil;565;4;0.7;1.1;1.9;16.1;1.8;2;7.4;70.7
Sandwich (Ruchbrot) mit Weichkäse;;Gerichte/Sandwiches;pro 100g essbarer Anteil;731;7.7;2.6;1.9;2.5;18.7;1.2;2.1;6.5;65.2
Sardelle im Öl, abgetropft;;Fisch/Meeresfische;pro 100g essbarer Anteil;765;8.5;2.9;3.4;1.3;0.2;0.1;0;26.4;55.1
Sardellenpaste;;Verschiedenes/Aufstriche;pro 100g essbarer Anteil;1130;21.3;4;13.8;2.1;0.2;0.1;0;19.8;58.7
Sardine im Öl, abgetropft;;Fisch/Meeresfische;pro 100g essbarer Anteil;898;13.7;2.8;4.7;4.9;0;0;0;23;59.8
Sardine, roh;;Fisch/Meeresfische;pro 100g essbarer Anteil;680;9;2.6;2.4;2.6;0;0;0;20.4;69
Saucisse aux choux;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;1500;32.4;11.8;15.1;3.6;1.6;1.5;0.8;15.9;49.4
Saucisson;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;1670;36.4;13.2;17.2;4.1;0.5;0.5;0;18.2;44.9
Saucisson vaudois;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;1480;32.3;12;14.8;2.9;0.2;0.2;0;16.5;47.9
Saucisson, gekocht (ohne Zusatz von Fett und Salz);;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;1830;39.4;14.3;18.6;4.5;0.6;0.6;0;21.1;38.9
Sauerkraut, in Essig eingelegt;Sauerkohl;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;80;0.3;0.1;0;0.2;1.7;;2.2;1.3;91.4
Sauerrahm;Crème fraîche;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;1380;35;21;8.2;1.6;2.8;2.8;0;2.4;58
Saurer Halbrahm;;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;715;16.6;10.8;4.3;0.8;3.2;3.2;0;2.7;77.3
Sbrinz;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;1720;33.2;19.9;7.8;1.5;0;0;0;28;31.9
Scampi (Kaisergranat), roh;;Fisch/Meeresfrüchte, Krusten- und Schalentiere;pro 100g essbarer Anteil;395;1.3;0.2;0.3;0.4;0.8;0;0;19.6;75.9
Schafmilch;;Milch und Milchprodukte/Milch;pro 100 ml;435;7.1;4.1;1.7;0.5;4.7;4.7;0;5.5;81.8
Schaumwein;"Sekt;Prosecco;Champagner";Alkoholhaltige Getränke/Wein;pro 100 ml;293;0;0;0;0;1.5;1.5;0;0.2;89
Schinkengipfeli;;"Salzige Snacks/Blätterteiggebäcke;Gerichte/Sonstige salzige/rezente Gerichte";pro 100g essbarer Anteil;1420;20.9;9.5;8.1;2.2;26;0.7;1.4;11.1;40.9
Schmelzkäse, Scheibe, Rahm;;Milch und Milchprodukte/Käseerzeugnisse;pro 100g essbarer Anteil;1350;30;18;7;1.4;0;0;0;14.3;47
Schmelzkäse, Scheibe, viertelfett;;Milch und Milchprodukte/Käseerzeugnisse;pro 100g essbarer Anteil;648;8.6;5.2;2;0.4;0;0;0;19.4;59
Schmelzkäse, Scheibe, vollfett;;Milch und Milchprodukte/Käseerzeugnisse;pro 100g essbarer Anteil;1310;25;15;5.9;1.2;0;0;0;22.8;49.5
Schmelzkäse, streichfähig, Rahm;;Milch und Milchprodukte/Käseerzeugnisse;pro 100g essbarer Anteil;1310;29.4;17.6;6.9;1.3;0;0;0;12.9;50.3
Schmelzkäse, streichfähig, viertelfett;;Milch und Milchprodukte/Käseerzeugnisse;pro 100g essbarer Anteil;624;9.3;5.6;2.2;0.4;0;0;0;16.4;61.9
Schmelzkäse, streichfähig, vollfett;;Milch und Milchprodukte/Käseerzeugnisse;pro 100g essbarer Anteil;1020;21.2;12.7;5;1;0;0;0;14.1;51.3
Schnittlauch, roh;;Gemüse/Kräuter;pro 100g essbarer Anteil;124;0.6;0.1;0.1;0.2;1.9;1.9;2.3;3;91.3
Schnitzelbrot mit Cocktailsauce;Plätzlibrot;Gerichte/Sandwiches;pro 100g essbarer Anteil;1100;11.2;1.1;6.7;2.7;25.1;0.5;1.3;14.6;48.2
Schnitzelbrot mit Tartarsauce;Plätzlibrot;Gerichte/Sandwiches;pro 100g essbarer Anteil;1020;10.1;1;6;2.4;23.2;0.4;1.3;13.9;51.8
Schoggibrötli;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;1540;14.3;8.5;4.1;0.9;49.7;16.3;2.2;8.6;25.2
Schokolade, dunkel (bitter);;Süssigkeiten/Schokolade und Kakaoerzeugnisse;pro 100g essbarer Anteil;2240;31.8;19.7;11;1.1;53.4;50;7;5.7;0.7
Schokolade, weiss;;Süssigkeiten/Schokolade und Kakaoerzeugnisse;pro 100g essbarer Anteil;2370;35.2;21.9;11.7;1.3;55.8;55.3;0.2;6.7;1.3
Schokoladencrème;;Süssigkeiten/Cremen und Pudding;pro 100g essbarer Anteil;515;3;1.5;0.9;0.2;20;18.7;0.5;3.6;72.1
Schokoladengugelhopf;;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;1590;18.4;10.4;4.6;1.2;46.3;22.9;1.9;6.4;27.5
Schokoladenpulver;;"Süssigkeiten/Schokolade und Kakaoerzeugnisse;Alkoholfreie Getränke/Kakaogetränke";pro 100g essbarer Anteil;1680;7.8;4.6;2.6;0.2;71.3;70.6;10.5;5.3;1.7
Scholle, roh;Goldbutt;Fisch/Meeresfische;pro 100g essbarer Anteil;361;1.9;0.3;0.5;0.5;0;0;0;17.1;79.7
Schümliguetzli;"Schümli; Schaumgebäck; Schaumkeks";Süssigkeiten/Guetzli;pro 100g essbarer Anteil;1880;9.9;6.2;3.4;0.3;83.5;82.4;2.2;4.2;0.7
Schümliguetzli mit Schokolade;Choco-Schümli;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;2040;19.4;12.1;6.6;0.7;71.5;70.2;2;5.2;1
Schützenwurst;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;1010;23;8.5;10.8;2.3;0.2;0.2;0;9.2;67.6
Schwarzwälder Kirschtorte;;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;1030;16.1;9.3;5;0.8;21.4;12;0.9;3.9;56.4
Schwarzwurzel, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;233;0.5;0.1;0;0.3;2.2;2.1;19.1;1.5;76.7
Schwarzwurzel, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;222;0.4;0.1;0;0.2;2.1;2;18.3;1.4;77.9
Schwein, Brustspitz, roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;993;18.6;7.2;8.9;1.8;0;0;0;17.9;61.4
Schwein, Eckstück, Plätzli, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;684;3.3;0.9;1.2;0.4;0;0;0;33;63.7
Schwein, Eckstück, roh;Plätzli;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;484;2.7;0.7;1;0.4;0;0;0;22.6;73.7
Schwein, Filet, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;644;4;1.6;1.8;0.3;0;0;0;29.3;66.8
Schwein, Filet, roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;509;3.6;1.4;1.6;0.3;0;0;0;22.2;73.1
Schwein, Gehacktes, roh;Hackfleisch;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;663;8.5;3.1;4.2;0.8;0;0;0;20.5;70.3
Schwein, Geschnetzeltes, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;741;6.4;1.9;2.6;0.7;0;0;0;29.8;63.9
Schwein, Geschnetzeltes, roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;562;5.4;1.6;2.2;0.6;0;0;0;21.3;72.7
Schwein, Hals, Steak, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;1060;16.6;6.4;7.7;1.7;0;0;0;26.4;57
Schwein, Hals, Steak, roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;843;14.1;5.5;6.5;1.4;0;0;0;18.9;65.4
Schwein, Haxe, geschmort (ohne zusatz von Fett und Salz);;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;1000;9.9;3.5;4.4;1;0.9;0;0;36.6;52.6
